0	0	0.5
0.01	0.0025	0.499972566422227
0.02	0.005	0.499890928379302
0.03	0.0075	0.499757061936351
0.04	0.01	0.499574220708435
0.05	0.0125	0.499346876794105
0.06	0.015	0.499080639419521
0.07	0.0175	0.498782152605963
0.08	0.02	0.498458973514448
0.09	0.0225	0.498119433436921
0.1	0.025	0.497772483689529
0.11	0.0275	0.497427528915218
0.12	0.03	0.497094250516614
0.13	0.0325	0.496782423112421
0.14	0.035	0.49650172703872
0.15	0.0375	0.496261559998501
0.16	0.04	0.496070850997085
0.17	0.0425	0.495937879687107
0.18	0.045	0.495870104184422
0.19	0.0475	0.495874000306419
0.2	0.05	0.495954915028125
0.21	0.0525	0.496116936751362
0.22	0.055	0.49636278474072
0.23	0.0575	0.496693719800751
0.24	0.06	0.49710947795539
0.25	0.0625	0.497608228547718
0.26	0.065	0.498186557810745
0.27	0.0675	0.498839478573114
0.28	0.07	0.499560466363295
0.29	0.0725	0.500341521767645
0.3	0.075	0.501173258487802
0.31	0.0775	0.502045016137232
0.32	0.08	0.502944996421477
0.33	0.0825	0.50386042096765
0.34	0.085	0.504777708711743
0.35	0.0875	0.505682670422889
0.36	0.09	0.506560717646793
0.37	0.0925	0.507397083091006
0.38	0.095	0.508177049256538
0.39	0.0975	0.508886181947196
0.4	0.1	0.509510565162952
0.41	0.1025	0.510037033808873
0.42	0.105	0.510453400628332
0.43	0.1075	0.510748673799178
0.44	0.11	0.510913261714459
0.45	0.1125	0.510939161604474
0.46	0.115	0.510820128842974
0.47	0.1175	0.510551824015187
0.48	0.12	0.510131935106024
0.49	0.1225	0.509560272489895
0.5	0.125	0.508838834764832
0.51	0.1275	0.50797184386828
0.52	0.13	0.506965748334727
0.53	0.1325	0.505829194000591
0.54	0.135	0.504572961923311
0.55	0.1375	0.503209873753019
0.56	0.14	0.5017546652699
0.57	0.1425	0.500223829271694
0.58	0.145	0.498635429456882
0.59	0.1475	0.497008887393491
0.6	0.15	0.495364745084376
0.61	0.1525	0.493724406031272
0.62	0.155	0.492109858055869
0.63	0.1575	0.490543381451117
0.64	0.16	0.489047246305141
0.65	0.1625	0.487643403059
0.66	0.165	0.48635317052447
0.67	0.1675	0.485196925696014
0.68	0.17	0.4841937997399
0.69	0.1725	0.483361384531603
0.7	0.175	0.482715454039585
0.71	0.1775	0.482269704719425
0.72	0.18	0.482035518888291
0.73	0.1825	0.482021754797675
0.74	0.185	0.482234566814977
0.75	0.1875	0.482677258765413
0.76	0.19	0.483350173079167
0.77	0.1925	0.484250617939568
0.78	0.195	0.485372834142206
0.79	0.1975	0.486708002858182
0.8	0.2	0.488244294954151
0.81	0.2025	0.489966961964244
0.82	0.205	0.491858468241987
0.83	0.2075	0.49389866325143
0.84	0.21	0.4960649923937
0.85	0.2125	0.498332744215783
0.86	0.215	0.50067533132018
0.87	0.2175	0.503064601794642
0.88	0.22	0.505471177517627
0.89	0.2225	0.507864815274088
0.9	0.225	0.51021478624414
0.91	0.2275	0.512490269109457
0.92	0.23	0.51466075176422
0.93	0.2325	0.516696436422994
0.94	0.235	0.518568642790829
0.95	0.2375	0.52025020390341
0.96	0.24	0.521715849259184
0.97	0.2425	0.522942569951568
0.98	0.245	0.523909960667499
0.99	0.2475	0.524600533647516
1	0.25	0.525
